"","Experiment","Age","Ethnicity","Gender","Language","Question","Answer","ID","Condition","P1","P2","P3","CorrectAnswer","Correct","SI1","SI2","SI3","P1cor","P2cor","P3cor","P1con","P2con","P3con","Congruency","AgeDif1","AgeDif2","AgeDif3"
"36","SoccultExamDan.2021-05-14-1120.data.688c3dbd-393b-4896-9412-e57a1879f78b.txt",25,"Denmark","1","Danish",2,3,15,1,52,46,13,3,1,1,3,3,0,1,1,0,1,1,2,27,21,-12
"37","SoccultExamDan.2021-05-14-1128.data.457f3882-9e41-41e1-8f43-3c1675586cde.txt",21,"Denmark","0","Danish",2,3,16,1,52,46,13,3,1,1,3,3,0,1,1,0,1,1,2,31,25,-8
"38","SoccultExamDan.2021-05-14-1353.data.eed89846-4853-4c3b-b1ad-2c0fd80fb5ee.txt",20,"Denmark","1","Danish",2,3,17,1,52,46,13,3,1,1,3,3,0,1,1,0,1,1,2,32,26,-7
"39","SoccultExamDan.2021-05-14-1437.data.cb0ac57e-e1f7-48ea-80ec-bbfc0d8e1be7.txt",22,"Denmark","0","Danish",2,3,18,1,52,46,13,3,1,1,3,3,0,1,1,0,1,1,2,30,24,-9
"40","SoccultExamDan.2021-05-14-1731.data.d32662e0-2c41-4c39-8508-e974f226dd2b.txt",20,"Denmark","1","Danish",2,3,19,1,52,46,13,3,1,1,3,3,0,1,1,0,1,1,2,32,26,-7
"41","SoccultExamDan.2021-05-14-1907.data.26a34c00-9693-4e6f-bbf0-5f00341100e9.txt",22,"Denmark","1","Danish",2,3,20,1,52,46,13,3,1,1,3,3,0,1,1,0,1,1,2,30,24,-9
"42","SoccultExamDan.2021-05-14-2029.data.40f6a1f3-7a2d-48a9-9237-c16b80d02e66.txt",21,"Denmark","0","Danish",2,3,21,1,52,46,13,3,1,1,3,3,0,1,1,0,1,1,2,31,25,-8
"43","SoccultExam.2021-05-12-1852.data.4ba32934-f771-4ae1-bec7-42a146772a46.txt",27,"Denmark","1","English",3,4,1,1,52,48,26,2,0,2,2,4,1,1,0,0,0,1,1,25,21,-1
"44","SoccultExam.2021-05-12-2045.data.27998d17-5e90-4cab-a229-fff00665e1f2.txt",30,"USA","0","English",3,2,2,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,22,18,-4
"45","SoccultExam.2021-05-13-1529.data.53cba792-e0da-42f6-a8e9-48ee4d1b3487.txt",25,"Austria","1","English",3,2,3,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,27,23,1
"46","SoccultExamDan.2021-05-12-2333.data.b4ca87bb-eccf-4d27-a46b-1ae79ad7cab2.txt",21,"Denmark","0","Danish",3,2,4,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,31,27,5
"47","SoccultExamDan.2021-05-12-2352.data.3a17cb1c-72da-44f0-86ab-54c8e4721d56.txt",23,"Denmark","0","Danish",3,2,5,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,29,25,3
"48","SoccultExamDan.2021-05-13-1015.data.7b96f888-88d0-46b1-812d-f10aa7113948.txt",20,"Denmark","0","Danish",3,2,6,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,32,28,6
"49","SoccultExamDan.2021-05-13-1157.data.6782f278-ca19-4aa7-86df-a62ca0eda117.txt",25,"Denmark","1","Danish",3,2,7,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,27,23,1
"50","SoccultExamDan.2021-05-13-1516.data.51038441-4429-48b0-ae3b-f2ab6a661e6a.txt",20,"Denmark","0","Danish",3,2,8,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,32,28,6
"51","SoccultExamDan.2021-05-13-2110.data.23e4b411-85eb-472d-b542-fe679d671c8c.txt",22,"Denmark","0","Danish",3,2,9,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,30,26,4
"52","SoccultExamDan.2021-05-14-1017.data.bcdf5496-ab10-4ed0-b355-7ed7db32a9e5.txt",21,"Denmark","1","Danish",3,2,10,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,31,27,5
"53","SoccultExamDan.2021-05-14-1026.data.8030da60-12a4-4a97-84bb-7e2ccf3adc57.txt",22,"Ungarn","0","Danish",3,4,11,1,52,48,26,2,0,2,2,4,1,1,0,0,0,1,1,30,26,4
"54","SoccultExamDan.2021-05-14-1026.data.d465a015-8548-4032-bc16-de5263430b14.txt",24,"Denmark","1","Danish",3,2,12,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,28,24,2
"55","SoccultExamDan.2021-05-14-1026.data.ed780bc0-f8f7-4711-abad-0d16232e6f5a.txt",23,"Denmark","1","Danish",3,2,13,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,29,25,3
"56","SoccultExamDan.2021-05-14-1034.data.880f1501-d5c5-4405-8522-19bc60d37bf2.txt",21,"Denmark","1","Danish",3,2,14,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,31,27,5
"57","SoccultExamDan.2021-05-14-1120.data.688c3dbd-393b-4896-9412-e57a1879f78b.txt",25,"Denmark","1","Danish",3,2,15,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,27,23,1
"58","SoccultExamDan.2021-05-14-1128.data.457f3882-9e41-41e1-8f43-3c1675586cde.txt",21,"Denmark","0","Danish",3,2,16,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,31,27,5
"59","SoccultExamDan.2021-05-14-1353.data.eed89846-4853-4c3b-b1ad-2c0fd80fb5ee.txt",20,"Denmark","1","Danish",3,2,17,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,32,28,6
"60","SoccultExamDan.2021-05-14-1437.data.cb0ac57e-e1f7-48ea-80ec-bbfc0d8e1be7.txt",22,"Denmark","0","Danish",3,2,18,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,30,26,4
"61","SoccultExamDan.2021-05-14-1731.data.d32662e0-2c41-4c39-8508-e974f226dd2b.txt",20,"Denmark","1","Danish",3,2,19,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,32,28,6
"62","SoccultExamDan.2021-05-14-1907.data.26a34c00-9693-4e6f-bbf0-5f00341100e9.txt",22,"Denmark","1","Danish",3,2,20,1,52,48,26,2,1,2,2,4,1,1,0,1,1,0,2,30,26,4
"63","SoccultExamDan.2021-05-14-2029.data.40f6a1f3-7a2d-48a9-9237-c16b80d02e66.txt",21,"Denmark","0","Danish",3,4,21,1,52,48,26,2,0,2,2,4,1,1,0,0,0,1,1,31,27,5
"64","SoccultExam.2021-05-12-1852.data.4ba32934-f771-4ae1-bec7-42a146772a46.txt",27,"Denmark","1","English",4,4,1,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,32,16,27
"65","SoccultExam.2021-05-12-2045.data.27998d17-5e90-4cab-a229-fff00665e1f2.txt",30,"USA","0","English",4,3,2,1,59,43,54,4,0,3,3,3,0,0,0,1,1,1,3,29,13,24
"66","SoccultExam.2021-05-13-1529.data.53cba792-e0da-42f6-a8e9-48ee4d1b3487.txt",25,"Austria","1","English",4,4,3,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,34,18,29
"67","SoccultExamDan.2021-05-12-2333.data.b4ca87bb-eccf-4d27-a46b-1ae79ad7cab2.txt",21,"Denmark","0","Danish",4,4,4,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,38,22,33
"68","SoccultExamDan.2021-05-12-2352.data.3a17cb1c-72da-44f0-86ab-54c8e4721d56.txt",23,"Denmark","0","Danish",4,4,5,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,36,20,31
"69","SoccultExamDan.2021-05-13-1015.data.7b96f888-88d0-46b1-812d-f10aa7113948.txt",20,"Denmark","0","Danish",4,4,6,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,39,23,34
"70","SoccultExamDan.2021-05-13-1157.data.6782f278-ca19-4aa7-86df-a62ca0eda117.txt",25,"Denmark","1","Danish",4,4,7,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,34,18,29
"71","SoccultExamDan.2021-05-13-1516.data.51038441-4429-48b0-ae3b-f2ab6a661e6a.txt",20,"Denmark","0","Danish",4,4,8,1,59,43,54,4,1,3,3,3,0,0,0,0,0,0,0,39,23,34
